song_id,song_name,song_duration,song_popularity,artist_id,album_id,tempo,type,loudness,mode,speechiness,liveness,valence,danceability,energy,acousticness,instrumentalness,album_release_date,album_popularity,Year,artist_genres,artist_popularity
50xvGsnNmO3k5EtaUBXRRr,Suelta Mi Mano,240306,69,7xeM7V59cA1X8GKyKKQV87,5pbMJWLEzbU0HNQBffJyRx,144.021,audio_features,-10.479,0,0.0362,0.0932,0.354,0.571,0.303,0.885,0.0,2005-11-18,64,2005,"latin arena pop, latin pop, mexican pop",68
7xf3S6Bv8hDqOtevZou602,If I Didn't Have You,217786,60,4obZSxPoSs6iedmMKPzhwh,7hguux6E8wOGlNsKnZB6Sz,121.699,audio_features,-9.815,1,0.0558,0.68,0.589,0.636,0.412,0.662,5.96e-05,2001-01-01,55,2001,movie tunes,38
0YHBvFhfCJHyP5qfgtiX1o,Just in Case,263866,61,4sbB4Yy6Qig51pKCIKSLw3,2Hvu2Yh4ghgcLvYLr3V5dM,100.999,audio_features,-6.797,1,0.0951,0.0495,0.695,0.78,0.572,0.0618,0.0,2001-03-13,54,2001,"contemporary r&b, new jack swing, r&b, urban contemporary",52
38084tN66v4KHqiLpl9cN8,Anything (feat. Next),287026,55,4sbB4Yy6Qig51pKCIKSLw3,2Hvu2Yh4ghgcLvYLr3V5dM,105.743,audio_features,-7.907,1,0.0425,0.137,0.452,0.731,0.377,0.0516,0.0,2001-03-13,54,2001,"contemporary r&b, new jack swing, r&b, urban contemporary",52
3OQu3z3okKVmWxSXTTHak5,Put That Woman First,245773,59,4sbB4Yy6Qig51pKCIKSLw3,10NYla7wqjbdNXNExgtRGa,78.935,audio_features,-8.804,0,0.132,0.184,0.513,0.649,0.536,0.492,0.0,2002-11-05,51,2002,"contemporary r&b, new jack swing, r&b, urban contemporary",52
49cSN8JC12jp5F5A7yauTf,I've Changed (feat. Keyshia Cole),213826,58,4sbB4Yy6Qig51pKCIKSLw3,6NTc18I9AXpW6NecT9vXS1,116.405,audio_features,-5.442,0,0.198,0.0801,0.348,0.527,0.631,0.0401,0.0,2007-12-18,49,2007,"contemporary r&b, new jack swing, r&b, urban contemporary",52
6tpGF2kYnrqO0S44jKxduZ,Breakdown,190666,58,4tMZahYVKJdjbC1GHVtNnV,08nOgpgThrvOYlvM6nUOmJ,100.04,audio_features,-5.673,0,0.0503,0.121,0.483,0.569,0.945,0.00936,0.0,2001-02-13,49,2001,"alternative metal, nu metal, post-grunge",42
1jD48pmiHMSVHHPzKLi4P3,Tu Eres Ajena,293106,71,4yNdrUaF54csrLixVTnqzC,4DKgafmoXFZmhi73FJ0UQt,133.294,audio_features,-6.011,1,0.0436,0.189,0.939,0.751,0.788,0.267,0.0,2001-09-14,61,2001,tropical,58
4LCzEYKPFcd2FCOmZdVDnM,Dance With The Devil,579293,63,7h8ja4JSORo2sXJPmCXRxa,5oSeZDMpbXW5E9v13kDicA,87.45,audio_features,-5.797,0,0.47,0.473,0.23,0.636,0.871,0.446,0.0,2001-09-14,54,2001,"conscious hip hop, east coast hip hop, hardcore hip hop, harlem hip hop, political hip hop",50
1ooQIGKHYJ9aKVsUynDpSN,17,319200,50,5Vz7hlMWR4OFye64dYoGm0,2Mpixk51qfZm5hQ6soEbjI,124.46,audio_features,-5.236,1,0.0272,0.111,0.463,0.649,0.649,0.00541,2.46e-06,2002-01-01,46,2002,"classic oklahoma country, oklahoma country, outlaw country, red dirt",45
