artist_id,artist_genres,artist_popularity,year
6kBDZFXuLrZgHnvmPu9NsG,"ambient, braindance, electronica, intelligent dance music, uk experimental electronic",62,1994
1Yox196W7bzVNZI7RBaPnf,"alternative metal, hard rock, melodic thrash, metal, nu metal, old school thrash, rock, speed metal, thrash metal",67,1994
0blJzvevdXrp21YeI2vbco,"alternative metal, gothic metal, industrial metal, industrial rock, metal, nu metal",58,1994
22282KfMxDo2PMjnBc82I4,"east coast hip hop, golden age hip hop, old school hip hop",46,1994
6AcOTCYBMvjKYy4zms0kaC,"banda, banda sinaloense, musica mexicana, norteno",68,1994
5SHQUMAmEK5KmuSb0aDvsn,"alternative rock, grunge, riot grrrl",57,1994
47zz7sob9NUcODy0BTDvKx,"british soul, sophisti-pop",70,1994
2P3cjUru4H3fhSXXNxE9kA,"boy band, contemporary r&b, new jack swing, r&b",60,1994
3IhWQSrLj8EJjdvjFTpCyo,"classic oklahoma country, country, country road",58,1994
5LfGQac0EIXyAN8aUwmNAQ,"alternative metal, permanent wave, post-grunge, punk, rock, skate punk, socal pop punk",74,1994
7mPcfx7PhnBh6n4HMCd61A,"contemporary country, country, country road",56,1994
19KwjzvIL92r29IINtlPNP,"conscious hip hop, dirty south rap, gangster rap, hardcore hip hop",52,1994
03r4iKL2g2442PT9n2UKsx,"alternative rock, east coast hip hop, golden age hip hop, hip hop, old school hip hop, rap, rap rock, rock",66,1994
1G9G7WwrXka3Z1r7aIDjI7,"atl hip hop, dirty south rap, hip hop, old school atlanta hip hop, rap, southern hip hop",72,1994
4vhNDa5ycK0ST968ek7kRr,"colombian pop, latin pop, vallenato",70,1994
2TI7qyDE0QfyOlnbtfDo7L,"jam band, neo mellow, pop rock",61,1994
6O74knDqdv3XaWtkII7Xjp,"boy band, contemporary r&b, new jack swing, r&b, urban contemporary",63,1994
5wTAi7QkpP6kp8a54lmTOq,"classical, german romanticism, late romantic era",64,1994
6AcOTCYBMvjKYy4zms0kaC,"banda, banda sinaloense, musica mexicana, norteno",68,1994
