song_id,song_name,song_duration,song_popularity,artist_id,album_id,year
6adhpSbrhat9S0WEVjf4HP,The Way You Like It,219933,56,3n4ersmDo55xV4fPSCKpXb,2px7Z3Hvmb846rH8JHIiJh,2001
23Cr3klTV6cX5zuv8AySyI,11 am,253426,57,3YcBF2ttyueytpXtEzn1Za,1rQZbncicoXyB64DqoH7OY,2001
7LbOQt7isddrw3Bs3Czl7E,It's Still Rock and Roll to Me,177266,56,6zFYqv1mOsgBRQbae3JJ9e,7r36rel1M4gyBavfcJP6Yz,2001
5Yj4AP0JGQWierBFKdKVyS,Feeling Good,198800,53,12Chz98pHFMPJEknJQMWvI,1AP6uGYHdakRgwuWQsP5pK,2001
2t9ieURCFxwpFpTT6FXJNE,Si Me Recuerdas,274253,61,16kOCiqZ1auY4sokSeZuKf,0HtYh5CyT365ONA1d46IRC,2001
7hhclvecTpNxNNRCk7NUoc,Little L,295400,67,6J7biCazzYhU3gM9j1wfid,6cLYs4e403jQk6PJ8PG9rs,2001
6KoK723c5pmYKiHvH69JDr,Vica Versa,263440,52,3D04N2X2w6vUGeyG94FBaY,4wDdJjtzFKzjo9neJhaTlU,2001
0sajbvtKzol0PeerLCCmtM,Let's Go To Bed,214160,53,7bu3H8JO7d0UbMoVzbo70s,34ozkv3AkFksZD8srOmOrX,2001
7jClgHzR5JG69gar7rVMoX,Get Up Again,176600,57,4hFScNSgSkApFw193xlyH7,4ENDNin0EF4elzkaWLvbAM,2001
15f8Cv8RXUlOOCIf2oaceN,Underneath Your Clothes,224066,67,0EmeFodog0BfCgMzAIvKQp,4DyMK9x2gnmRkRa16zHaEV,2001
7k4dnllwnFDizWHAWkYXsh,Breathin,244933,61,1ZwdS5xdxEREPySFridCfh,0uT4bCZS9o5C1ThDa2VxpV,2001
10jdyLaybUVbi8AlJf7nYF,Cumbia Del Sol,194826,58,69BX3Y0Y9rzA039eZX2hdx,4x89VPVDzHs5iooMxojyDw,2001
5zbkoIgrBO5VjrQIEChlre,5/4,162080,52,3AA28KZvwAUcZuOKwyblJQ,0YvYmLBFFwYxgI4U9KKgUm,2001
7qjelT2ay3rsDk1cLWDJpE,Llorar,159921,63,7FsRH5bw8iWpSbMX1G7xf1,5nCibJfM8LvlVDRVk2GKIa,2001
3fXY1GLVF8QmzbTfNTTaFr,Praise,218933,55,35Uu85Pq33mK8x1jYqsHY2,6csmoeDVSefHvffDtIgCw1,2001
461E9GGt5TzUIrOGKAOSzy,Cuando Te Acuerdes De Mi,280026,64,3tJnB0s6c3oXPq1SCCavnd,6Wu8bNDDeQb0mLXYstVAjh,2001
3HCah9Waf9Jby9gLIWN4MI,Eyes Without A Face - Remastered 1999,297426,64,7lzordPuZEXxwt9aoVZYmG,1gTvJG5YnrTiwr0uDuzaoA,2001
4FzrCRil9uGpGGsnnM0vkE,Don't Stop Dancing,272866,62,43sZBwHjahUvgbx1WNIkIz,2ENlJXygQX6en4iziijet6,2001
5htNlXFlMI6RMBHhJuGJJm,Where You Lead I Will Follow,207813,61,319yZVtYM9MBGqmSQnMyY6,1F2U0WSicgaB8PwxBk3Tzo,2001
0U6yXM24WIntZO8HUUMXuj,Superstar,243600,57,5S6hjAxgxjsLylsTtMIimO,6gF0b1XROfpwz5bLHM1dRe,2001
1eOOuuNZq4U6nlglCIs4W7,Seran Sus Ojos,178600,55,65g3CsZVaukwdqu6n5S09K,5C84Das7bwbwRtw9uj53OM,2001
43TQVltxEHaqCKpSsttaT5,Epiphany,256133,52,5KDIH2gF0VpelTqyQS7udb,0OwSOrPWyP9batKOhOnaPt,2001
01Aj44KIjCrPmZeXq4UOky,Emotion,236400,61,1Y8cdNmUJH7yBTd9yOvr5i,480AZOo2VQ1kf3GedAiKV9,2001
2UK6LfBqQco9UHnLx1jbf5,"Te Amo, Te Extraño",235280,60,44WCHvwXBOMz6nm7Mu2ReO,21KahOGVHAZek0qwgc8KKw,2001
5USZyz6dnBEn1oLsKcAKQy,Hallelujah,248800,59,2PfBzriIMRsCXPDtSy9vg8,4fFn4t0JoZrNB3VY4HZ970,2001
27ViQppP3LZPCJl2A0w9kp,Destiny,338279,62,14H7ag1wpQOsPPQJOD6Dqr,1VRBB9iu84o3g16CczH9iH,2001
4jttAL9l4N4cFnrLeYcICI,We Right Here,267706,60,1HwM5zlC5qNWhJtM00yXzG,6npEZ6PLRAhagB3cwDZ3l7,2001
3R0voNMxiSa6BGMdZgDx4B,The Day Of Night,97426,58,6f7UIM59MQy6y0bJmQcRNe,5XjZ6xhbPbALPVGd5Zx0Cw,2001
1wAqhAF1dynDjMy7m5CSSE,New Slang,231173,57,4LG4Bs1Gadht7TCrMytQUO,1OXUnUd8QPoVJpStlBGn0J,2001
7HjJQunSPwkXXVnGeItUEH,Contagious,346466,54,53QzNeFpzAaXYnrDBbDrIp,0UnGCxrpGCUQOqsQ4h6BP9,2001
0AiTIiCQ15NW8QHQwSxKuR,Drowning,267226,68,5rSXSAkZ67PYJSvpUpkOr7,1NslKOZobWxINFaFkLol3r,2001
0tXq1ob3ysGZN2oK1abtyp,Lifetime - Remastered 2021,329400,55,2AOt5htsbtyaHd5Eq3kl3j,3Ul8Nyuzr2AEwE8iSrQepC,2001
5avQSAKB1dOEeIQBqV4jgW,Until The End Of Time,266506,60,1ZwdS5xdxEREPySFridCfh,0uT4bCZS9o5C1ThDa2VxpV,2001
2CQJlWoNln1bdobttQ4znq,Si Me Ves Llorar,326478,69,3L3YHYkS8b2vgAbnqBTXrE,2zf6kWIBrE5NOGLmy9vjCr,2001
7xuE5wYWGioBI1xCO6hDik,No Soy Un Cualquiera,190426,58,5mCFkp1QcLQe7W67MudPoj,4xd2Jf3zJjlKyS3e8pyqtc,2001
1oIqmoVvbW5X8BE38rQ95Z,Tiene Apenas 16,231586,59,1sxekzjeHJaqkZbpaaGR9x,5Zm9hsEW0ZgqnwD05ds2BB,2001
37OI3jA1ts5U0nmuk2qBXR,Sadie Hawkins Dance,177600,53,3nJWBJvK7uGvfp4iZh9CkN,7pkfdwjlOmJfzARVbLXE60,2001
1wLhwzPAtze5JT8qqXlqaO,Take It to da House,226160,53,12FHARd9fY0Tu0ila4Ua25,2oJxBPqylFpSb60hOJ4DcH,2001
11SQnfm9cxgIjRREQWgbsP,Everything Ends,254106,59,05fG473iIaoy82BF1aGhL8,5Zs0mNCTs73CqPKbZPWFX9,2001
4BTQGDRQxfqNofJbQEoXgg,Si Fueras Mi Esposa,214013,57,32BLNtPX18499VCjsUiFj1,2BEj2QytsRptDvt9uaBcKu,2001
29EqF77z5pCq5uCPm1ir5v,El Gordo Paz,162446,56,2L54fWLv9EgJu76ELlfV2J,0e2PNUdAwAPJR3p3A5lLGL,2001
3ifaGhNHnCPQ9zdnOfolcZ,Ah! Leah!,222533,53,4kveDT8ylFciq1mdeYcIvw,5SflwEXSYK6xowXF9SDrkF,2001
54Ev13Dca9qrYZDNLFUYpb,Nothing In This World,251066,52,0KWcq2E8ejxp78jdfpCd4K,2eFemWK7eJPs1xG6LO3azX,2001
2c7huQpWR29bcXrrvLcG2j,We Need A Resolution (feat. Timbaland),242826,57,0urTpYCsixqZwgNTkPJOJ4,0cNaDPtbHC1PMJMRTY2GFc,2001
