album_id,album_genres,album_release_date,album_popularity
22rLwPW3QCaLB8UgWDY9bM,,1998-06-23,53
7xbWtTByfdMWFfxXmeFFl0,,1998-11-09,59
69ACUmut0hbGOSonmU4kNS,,1998-09-14,61
2KE8WCHtD8qnAxXeIzNEId,,1998-01-01,64
0PcL1sQMunNBJB1hCbj1zY,,1998-06-23,59
4gBlh3imgWjnD275XauGwt,,1998,49
1Co6e9ag1gRKcWdG7xKcCi,,1998-05-29,66
6GRzmk9UGL7odxprOPop1Q,,1998-09-29,59
5ceB3rxgXqIRpsOvVzTG28,,1998-09-29,65
2KE8WCHtD8qnAxXeIzNEId,,1998-01-01,64
00NABajpGsPCObfcl4LJsM,,1998-11-17,66
3PO9OtQdvCDJN8zDLtZiYd,,1998-01-01,54
11Rni6y5dnNo6NRVuxltIj,,1998-01-27,64
4VwV8hjVXteVkVNDCYPN1M,,1998-06-01,69
33DVEiEzNDnc0Ojj2knqtS,,1998-09-10,65
2QXT4rGSfqjqfgpZ059yKp,,1998-10-16,58
1w7vC8hjYXhK1fS5cM2fUM,,1998-01-01,63
1WBZyULtlANBKed7Zf9cDP,,1998-01-01,79
5ceB3rxgXqIRpsOvVzTG28,,1998-09-29,65
2RNTBrSO8U8XjjEj9RVvZ5,,1998-11-16,77
51dg2LdYMIVQqCuUBlfQsN,,1998,68
0EUGqkj07wWx27XADAq3Ba,,1998,62
0PSTqZ8cInMb1Wr68Uqdwp,,1998-09-22,58
79yCNDXk5sNKwskcAOxUtz,,1998,50
4VwV8hjVXteVkVNDCYPN1M,,1998-06-01,69
5hcKSTqKOLuzJgYIQileAe,,1998-09-29,76
205vyy6nvcAX5GdYke9oPP,,1998-03-03,52
2N7TdBow0ClqvPIdmuOgtw,,1998-10-06,52
76wfH8b5jDsD9LROg1DqQY,,1998-06-02,63
1zOxlHQGGV6EH7n4OIFTyh,,1998-01-01,58
0vVekV45lOaVKs6RZQQNob,,1998-02-20,62
1BZoqf8Zje5nGdwZhOjAtD,,1998-08-25,75
6nzY0rU5YgeyNEOYfIhgyu,,1998-02-06,59
00NABajpGsPCObfcl4LJsM,,1998-11-17,66
5DiOwioOBqVCSH6IwGBXEc,,1998-01-01,63
378XG6oO0TWcsGuxeQy2Os,,1998-04-14,60
1d3w7T3iyK3JJQ6kdpE6l9,,1998-01-01,65
5hcKSTqKOLuzJgYIQileAe,,1998-09-29,76
4VwV8hjVXteVkVNDCYPN1M,,1998-06-01,69
2xIhksIizs6gWdRBYdiTLc,,1998-05-01,66
3pNSTBg8qEoJIRgjKxccYt,,1998-06-01,44
6926E0NLdNZiEjK9ygGUCq,,1998,45
2F9QXXQKnqqyzI1u4UK1Ss,,1998-01-01,52
6uhtExacj3RhxaniexUU3Q,,1998,53
3sSfjX4fhZonjyZ10x0l0f,,1998,71
49MNmJhZQewjt06rpwp6QR,,1998-01-01,66
1WBZyULtlANBKed7Zf9cDP,,1998-01-01,79
5ksj97hVu25U5lHRov3kkX,,1998,60
3EdXKrmsoiThC0FWi9ctNH,,1998-01-11,59
51dg2LdYMIVQqCuUBlfQsN,,1998,68
5f6Nz2v1DESbpu1NerEql2,,1998-03-31,67
2S3289mypNw2zP0OpFexMb,,1998-02-24,71
1WBZyULtlANBKed7Zf9cDP,,1998-01-01,79
7iLjDR00sTKSu4kfrqjBPM,,1998-05-01,58
6HOvWskl058duikMCVOLcW,,1998-01-08,49
5pVPgCe1z46QAgA0vasY7N,,1998-08-04,46
2a9zJQA2ttMax51gVplZ2w,,1998,49
50JoC611NpgapCzN11G4Xo,,1998-07-22,51
1zrWYaf1JGvFpRLfp8nDyn,,1998-03-25,54
0j5FgwVkNyovMbkKAZrsqR,,1998,50
6CUTxBQse7shPPF33yCRd0,,1998-06-09,53
3poVlFX7lPm5Q7XKsOGEwk,,1998-05-11,49
6IICcthNyUNV4bdJlm8Idi,,1998-10-09,46
0jZfbz0dNfDjPSg0hYJNth,,1998,72
0gsiszk6JWYwAyGvaTTud4,,1998-08-18,73
3coLNlyStg9h7f8CZ103Rl,,1998-11-09,74
1Da87nj7hlkdRAh9Zf5jp7,,1998,62
2S3289mypNw2zP0OpFexMb,,1998-02-24,71
6LZiNXaDvhzvnXUubVOmNU,,1998-04-20,59
5f6Nz2v1DESbpu1NerEql2,,1998-03-31,67
62mjJPI20VDtnY9sY9vQq4,,1998-03-03,46
6L5uROBQ5wy3MOPI334RHE,,1998-01-01,58
4wxoPjHSYFYurNyKaEiZNT,,1998-10-12,62
0DuFDnZcj7B4R0Jik1aDmY,,1998-07-07,61
6Gz4ADhuPTy6CeyL52Ks2f,,1998-01-01,55
36F8dqIQunGUWbsOPWQSjz,,1998,51
5CUap1jumnhCkIDCd6DtEc,,1998-06-01,45
1w7vC8hjYXhK1fS5cM2fUM,,1998-01-01,63
2xIhksIizs6gWdRBYdiTLc,,1998-05-01,66
4UMjBXcRqIgMZ1XumU2x5T,,1998-09-11,77
0RWsJiIvRxAbmzfSTJsabn,,1998-01-01,64
16oW7he0sWe3dBxV2XaQx6,,1998-01-01,57
1WBZyULtlANBKed7Zf9cDP,,1998-01-01,79
3w9P0pRKVkFgoa8KfI4Kfh,,1998-06-30,60
2vURwAnzdxnAlocCPmLG95,,1998-05-01,47
1WBZyULtlANBKed7Zf9cDP,,1998-01-01,79
1d3w7T3iyK3JJQ6kdpE6l9,,1998-01-01,65
2S3289mypNw2zP0OpFexMb,,1998-02-24,71
5l7lj9nJbbTs0vCHhV0hVA,,1998-02-11,58
1SlXTGrq3PAkRlCFQUJkAl,,1998-08-10,48
33DVEiEzNDnc0Ojj2knqtS,,1998-09-10,65
5hcKSTqKOLuzJgYIQileAe,,1998-09-29,76
0RWsJiIvRxAbmzfSTJsabn,,1998-01-01,64
2B4lHoTCpWbxQPTZmCOjnH,,1998-01-01,73
6zgDc6tNdcobVRxIj7JHlH,,1998-07-27,47
0gsiszk6JWYwAyGvaTTud4,,1998-08-18,73
3sSfjX4fhZonjyZ10x0l0f,,1998,71
4CS4Z7cXj4VtuqBsvECU6c,,1998-01-01,64
3B7djG7pr1PycUJiWW6NQL,,1998-02-10,63
7ysKTnHt4ve0MvIWm3vPdz,,1998,58
5kP2AlLe5EsHEx6y3HpJjN,,1998-06-16,62
3npGGvmS0VJrBukG2PcgP4,,1998-01-01,45
4y46IJXRYnKC1Hubv0Nbcz,,1998-01-01,57
7hmSedqLVW3pMXzRPSbJfM,,1998-06-19,58
1d3w7T3iyK3JJQ6kdpE6l9,,1998-01-01,65
5oF9RaCKaF7e5siW9zdl6L,,1998-01-01,45
6L5uROBQ5wy3MOPI334RHE,,1998-01-01,58
7nFlAxnXMrQRpM1R80pKQm,,1998-08-05,63
3sSfjX4fhZonjyZ10x0l0f,,1998,71
5k27z7TrQn2O0mKMoiwHzN,,1998-10-30,61
5A7OXdZt9pNJbhjdelWlpr,,1998-01-01,58
0FH3WsTCWaDmfpEojJ4sN2,,1998-09-29,59
4aAkCm200iFJyFD9nZLKdm,,1998-10-06,48
1Co6e9ag1gRKcWdG7xKcCi,,1998-05-29,66
0gsiszk6JWYwAyGvaTTud4,,1998-08-18,73
1vbpW28Od2ATmVyAZ0QZ3j,,1998-02-05,56
1eFS4z1AJJCn2zzkZBwzPb,,1998-09-21,51
1BZoqf8Zje5nGdwZhOjAtD,,1998-08-25,75
7c6qrFOyCTUvmLcayRQ2G9,,1998-04-28,43
5k27z7TrQn2O0mKMoiwHzN,,1998-10-30,61
74dTTdKKCU5SXZpJvdSygY,,1998-01-01,52
2ea5ZDzeyLlnZrO6l688wd,,1998-01-01,55
5ksj97hVu25U5lHRov3kkX,,1998,60
4UMjBXcRqIgMZ1XumU2x5T,,1998-09-11,77
3EKEKhGIE2XYeWxn7Y2nkz,,1998-04-28,44
73P1eYyYBmKuBiVEhlCmfM,,1998-03-05,51
4y46IJXRYnKC1Hubv0Nbcz,,1998-01-01,57
6mIyViyBHV4eoQqI4JZByh,,1998-07-13,59
4E23R1HxpTXaL2Z6SwvHoT,,1998-10-28,59
3mFKkfROmn7VUiZq3y7f5Q,,1998-04-22,42
7G7cCHgQKbDD6zvwDQZyJu,,1998-01-01,47
6nzY0rU5YgeyNEOYfIhgyu,,1998-02-06,59
2xIhksIizs6gWdRBYdiTLc,,1998-05-01,66
1Co6e9ag1gRKcWdG7xKcCi,,1998-05-29,66
6dNOe4WqRfhanMyxy9D6kH,,1998-04-28,49
4yRYsQZfQpzkoVWH2XCX66,,1998-11-08,56
0WSpHK6tinGHU4gvP8fHih,,1998-11-02,62
5f6Nz2v1DESbpu1NerEql2,,1998-03-31,67
2fdAkcqAzhesitKe2q91RL,,1998,46
4dSH1oNZoziNjKAanUimWd,,1998-10-06,47
3xoAUqjKs7Ps7wR26VAMbq,,1998-10-06,68
6drk7Zx1zdv2VQB1mkklsK,,1998-01-01,48
5l7lj9nJbbTs0vCHhV0hVA,,1998-02-11,58
7poo7LkjfXMcKLK8lAkD1p,,1998-07-14,50
2B4lHoTCpWbxQPTZmCOjnH,,1998-01-01,73
7rjjFxMFZjPzQzBMj6mXr2,,1998-03-13,45
1WBZyULtlANBKed7Zf9cDP,,1998-01-01,79
