song_id,tempo,type,loudness,mode,speechiness,liveness,valence,danceability,energy,acousticness,instrumentalness
33R3swWziWYmnDYvZqcZVS,122.916,audio_features,-12.368,0,0.0311,0.0841,0.415,0.762,0.484,0.812,0.389
0JaVdpmiex2EP7bBzyKVTa,71.937,audio_features,-11.147,0,0.507,0.1,0.534,0.749,0.476,0.579,0.0
6Zdjh0uRQPt22BPckJgvEj,114.996,audio_features,-4.59,0,0.0503,0.0875,0.19,0.775,0.786,0.0419,0.000413
0aZJGkkXR3DgaFqo5sB8ot,181.074,audio_features,-4.512,1,0.138,0.158,0.663,0.497,0.923,0.00282,0.0
7hR5toSPEgwFZ78jfHdANM,115.058,audio_features,-9.327,1,0.0251,0.106,0.731,0.681,0.593,0.435,0.000117
6i81qFkru6Kj1IEsB7KNp2,107.819,audio_features,-11.1,1,0.0288,0.0823,0.283,0.473,0.348,0.721,7.42e-05
35srNkJVToAzYiZzron1FY,140.329,audio_features,-3.214,0,0.0693,0.211,0.103,0.637,0.69,0.417,0.0
18oWEPapjNt32E6sCM6VLb,132.009,audio_features,-4.46,0,0.0296,0.298,0.791,0.562,0.903,0.000187,0.0939
57QFOU3f7O0gDLadxv5z8w,180.046,audio_features,-8.356,1,0.439,0.343,0.654,0.851,0.598,0.000595,0.0
0SgbP5ZZOsUiHlE8EfeHma,179.869,audio_features,-7.166,0,0.0631,0.0552,0.401,0.626,0.357,0.354,0.0
6jvvpPJQJy5rMOEkLlADl6,120.026,audio_features,-5.776,0,0.0635,0.162,0.391,0.663,0.693,0.0379,0.0
5pyB5WEAEwqwl18UaBLeBl,131.931,audio_features,-5.996,1,0.029,0.181,0.531,0.594,0.601,0.122,5.69e-06
2DzLlUtscN7QECJ6E3yvHE,111.982,audio_features,-8.915,0,0.0394,0.224,0.915,0.841,0.86,0.173,1.84e-06
0CcFhIRRW468bAlAwD9FFs,109.589,audio_features,-3.139,1,0.0434,0.0915,0.97,0.609,0.967,0.308,0.0
